,property_type,state,lat,lon,area_m2,price_usd
198,house,Nuevo León,25.702822,-100.304192,148.0,
199,apartment,Morelos,,,89.0,
200,house,Veracruz de Ignacio de la Llave,19.563358,-96.939697,110.0,
201,house,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130.0,
202,house,Yucatán,21.0424858,-89.5568382,185.0,
203,apartment,Guerrero,16.829584,-99.9083,154.0,
204,house,Querétaro,20.726007,-100.442642,273.0,
205,house,San Luis Potosí,23.634501,-102.552788,187.0,
206,house,Distrito Federal,19.395069,-99.204927,110.0,
207,apartment,Distrito Federal,19.400004,-99.16735,94.0,
208,house,Tabasco,17.979631,-92.965249,100.0,
209,house,Querétaro,20.5887932,-100.3898881,84.0,
210,house,Yucatán,21.006756,-89.570984,162.0,
211,house,Yucatán,21.013465,-89.591041,239.0,
212,house,Chiapas,19.671066,-101.213341,175.0,
213,house,Veracruz de Ignacio de la Llave,18.1495073,-94.4422,200.0,
214,house,Nuevo León,25.7418083,-100.4057781,211.0,
215,house,Yucatán,20.968147,-89.629875,123.0,
216,house,Tamaulipas,22.2621259,-97.8238578,141.0,
217,house,Veracruz de Ignacio de la Llave,,,100.0,
218,house,Jalisco,20.767952,-103.40899,148.0,
219,house,Veracruz de Ignacio de la Llave,,,165.0,
220,house,Morelos,18.795519,-99.231445,150.0,
221,apartment,Distrito Federal,19.449392,-99.138544,70.0,
222,apartment,Quintana Roo,21.1564082129,-86.8488141149,95.0,
223,house,Tamaulipas,22.3160889,-97.8884841,165.0,
224,apartment,Distrito Federal,19.486255,-99.214043,65.0,
225,apartment,Veracruz de Ignacio de la Llave,,,250.0,
226,apartment,Distrito Federal,19.36594,-99.163153,85.0,
227,house,Veracruz de Ignacio de la Llave,19.146434,-96.161783,91.0,
228,house,Chihuahua,,,187.0,
229,apartment,Distrito Federal,,,81.0,
230,apartment,Guerrero,,,155.0,
231,house,Querétaro,,,270.0,
232,house,Yucatán,21.035221,-89.635757,204.0,
233,house,Guerrero,16.8643286803,-99.8879082142,170.0,
234,house,Querétaro,20.726007,-100.442642,180.0,
235,house,Sinaloa,23.261934,-106.408936,124.0,
236,house,Quintana Roo,21.139086,-86.84964,66.0,
237,house,Veracruz de Ignacio de la Llave,25.535524,-103.379302,276.0,
238,house,Puebla,,,262.0,
239,house,Yucatán,21.0043658,-89.5614233,79.0,
240,apartment,Distrito Federal,19.364613,-99.161892,70.0,
241,apartment,Distrito Federal,19.366505,-99.222297,72.0,
242,house,Veracruz de Ignacio de la Llave,,,146.0,
243,house,Querétaro,20.6521079,-100.3491545,250.0,
244,house,Yucatán,21.0350497573,-89.5990741253,137.0,
245,apartment,Distrito Federal,19.354947,-99.087529,65.0,
246,house,Yucatán,21.008295,-89.591019,142.0,
247,house,Querétaro,20.6476044,-100.35253,150.0,
248,house,Yucatán,21.030668,-89.599258,305.0,
249,house,Distrito Federal,19.371317,-99.140957,300.0,
250,apartment,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105.0,
251,apartment,Distrito Federal,19.377169,-99.187643,90.0,
252,apartment,Distrito Federal,19.381591,-99.165397,124.0,
253,apartment,Morelos,,,210.0,
254,house,San Luis Potosí,,,181.0,
255,house,Yucatán,21.039522,-89.563911,230.0,
256,house,Jalisco,20.755833,-103.413251,180.0,
257,house,Querétaro,,,121.0,
258,house,Veracruz de Ignacio de la Llave,,,108.0,
259,house,Estado de México,19.27223,-99.575691,300.0,
260,apartment,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70.0,
261,house,San Luis Potosí,22.121187,-100.951736,154.0,
262,house,Tabasco,17.987557,-92.929147,150.0,
263,house,Morelos,,,367.0,
264,house,Puebla,,,120.0,
265,house,Estado de México,19.4653884,-99.5940417,70.0,
266,house,Morelos,18.8493694,-98.9479805,250.0,
267,house,Yucatán,21.0529434814,-89.6679210663,141.0,
268,house,Morelos,18.942068,-99.242531,320.0,
269,house,Guerrero,16.808875,-99.821739,104.0,
270,apartment,Estado de México,19.531773,-99.245873,174.0,
271,house,Tamaulipas,25.860595,-97.504808,212.0,
272,house,Guanajuato,21.1666103,-101.6315416,210.0,
273,house,Morelos,18.882006,-99.148384,240.0,
274,apartment,Puebla,19.002178,-98.271063,87.0,
275,house,Estado de México,19.425918,-99.230123,300.0,
276,house,Colima,,,103.0,
277,house,Morelos,18.8736789,-99.1922665,257.0,
278,house,San Luis Potosí,22.186096,-101.005652,240.0,
279,house,Morelos,,,360.0,
280,house,Yucatán,21.075163,-89.516731,189.0,
281,house,Chihuahua,,,246.0,
282,house,Puebla,18.984862,-98.222234,289.0,
283,apartment,Distrito Federal,19.3650311,-99.1477363,83.0,
284,apartment,Morelos,18.917393,-99.221062,127.0,
285,house,Distrito Federal,19.399375,-99.149986,95.0,
286,house,Baja California,32.5622552,-115.3169575,75.0,
287,apartment,Distrito Federal,19.452689,-99.117987,60.0,
288,house,Distrito Federal,19.336104,-99.101761,70.0,
289,house,Zacatecas,23.634501,-102.552788,138.0,
290,house,Veracruz de Ignacio de la Llave,,,140.0,
291,house,Jalisco,20.567506,-103.48332,149.0,
292,house,Nayarit,20.722561,-105.270132,84.0,
293,house,Morelos,,,360.0,
294,apartment,Distrito Federal,19.3987957,-99.1594498,110.0,
295,house,San Luis Potosí,22.1176282971,-101.015124321,380.0,
296,house,Yucatán,21.006756,-89.570984,90.0,
297,house,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140.0,
298,house,Tamaulipas,22.2695545,-97.8750355,140.0,
299,house,Yucatán,,,154.0,
300,house,Estado de México,19.3308425,-99.5817205,140.0,
301,house,Estado de México,19.2398293,-99.617673,332.0,
302,house,Estado de México,19.4689569,-99.2727792,372.0,
303,house,Morelos,18.917542,-98.963181,200.0,
304,house,Estado de México,,,230.0,
305,apartment,Nuevo León,,,132.0,
306,house,Tabasco,17.9728054562,-92.9515487516,134.0,
307,house,Nuevo León,25.79255,-100.274638,159.0,
308,apartment,Distrito Federal,19.3928136,-99.1738213,112.0,
309,house,Sinaloa,24.804811,-107.46476,95.0,
310,house,Aguascalientes,21.905983,-102.286817,157.0,
311,house,Morelos,18.900945,-99.232574,279.0,
312,house,Tamaulipas,22.2900902,-97.8437788,75.0,
313,apartment,Distrito Federal,19.375374,-99.137657,80.0,
314,house,Nuevo León,25.660711,-100.289459,222.0,
315,house,Guanajuato,,,216.0,
316,apartment,Puebla,19.0206582554,-98.2238459587,100.0,
317,house,Yucatán,20.9608384839,-89.6215687395,160.0,
318,apartment,Distrito Federal,19.409369,-99.171906,83.0,
319,house,Estado de México,,,110.0,
320,house,Nuevo León,25.7584835,-100.4052434,131.0,
321,house,Nuevo León,25.712547,-100.249496,210.0,
322,house,Yucatán,21.0511962595,-89.5385822654,168.0,
323,house,Puebla,,,260.0,
324,house,Puebla,19.0927640219,-98.2267805468,100.0,
325,house,Chiapas,,,212.0,
326,house,Jalisco,20.792152,-103.475021,104.0,
327,house,Guanajuato,21.121012,-101.600136,207.0,
328,house,Morelos,,,302.0,
329,house,San Luis Potosí,22.1830772497,-101.0302325338,92.0,
330,apartment,Distrito Federal,19.404032,-99.179694,103.0,
331,house,Chiapas,,,168.0,
332,house,Morelos,18.814863,-99.211439,97.0,
333,apartment,Distrito Federal,19.368544,-99.163605,105.0,
334,house,Puebla,19.0550344,-98.2731403,330.0,
335,house,Yucatán,21.0430781672,-89.551603049,190.0,
336,house,Estado de México,19.699144,-98.978363,180.0,
337,apartment,Distrito Federal,19.341894,-99.224525,96.0,
338,house,Querétaro,20.596285,-100.357695,300.0,
339,apartment,Guerrero,,,141.0,
340,apartment,Puebla,19.035632,-98.223132,92.0,
341,house,Puebla,19.0217424,-98.2604216,215.0,
342,house,Chiapas,19.987465,-102.284888,330.0,
343,apartment,Morelos,18.957352,-99.260544,76.0,
344,house,Morelos,18.845494,-99.20547,136.0,
345,apartment,Distrito Federal,19.366901,-99.297272,65.0,
346,house,San Luis Potosí,22.1840801528,-101.0286072441,110.0,
347,house,Estado de México,19.615452,-99.206348,70.0,
348,house,Estado de México,19.590134,-99.280419,100.0,
349,house,Distrito Federal,19.473907,-99.177444,320.0,
350,house,San Luis Potosí,22.149093,-100.889863,180.0,
351,house,Estado de México,,,326.0,
352,house,Estado de México,19.641889,-99.1774462,250.0,
353,house,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168.0,
354,house,Querétaro,20.606224,-100.329168,165.0,
355,house,Yucatán,21.001256,-89.600723,325.0,
356,house,Morelos,,,180.0,
357,apartment,Morelos,,,205.0,
358,apartment,Nuevo León,25.7302897,-100.3965403,160.0,
359,house,Morelos,,,225.0,
360,house,Puebla,19.004742,-98.235992,180.0,
361,house,Morelos,18.920158,-99.180214,85.0,
362,house,Morelos,18.916586,-99.214371,272.0,
363,house,Puebla,19.063091,-98.296013,252.0,
364,apartment,Distrito Federal,19.371321,-99.140985,84.0,
365,apartment,Puebla,19.0378006,-98.3007086,120.0,
366,apartment,Distrito Federal,19.362824,-99.266178,162.0,
367,house,Chiapas,16.780325,-93.119637,180.0,
368,house,Yucatán,21.039522,-89.563911,178.0,
369,apartment,Distrito Federal,19.465454,-99.162665,69.0,
370,house,Jalisco,20.700756,-103.333385,300.0,
371,house,Baja California Sur,22.886851,-109.946872,94.0,
372,house,Querétaro,20.549404,-100.378563,110.0,
373,house,Distrito Federal,19.353288,-99.244721,150.0,
374,house,Estado de México,19.278994,-99.559006,136.0,
375,house,Puebla,18.985191,-98.186447,148.0,
376,apartment,Jalisco,20.67603,-103.425418,125.0,
377,house,Guanajuato,,,330.0,
378,house,Veracruz de Ignacio de la Llave,,,240.0,
379,apartment,Guerrero,16.8763009074,-99.8829327151,88.0,
380,house,Nayarit,21.525436,-104.923553,115.0,
381,apartment,Chiapas,16.748743,-93.066491,73.0,
382,apartment,Distrito Federal,19.432657,-99.177444,150.0,
383,house,Querétaro,20.618279,-100.346985,160.0,
384,house,Estado de México,19.72876,-99.461708,236.0,
385,house,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230.0,
386,house,Chiapas,,,72.0,
387,house,Querétaro,20.419854,-99.998039,89.0,
388,house,Morelos,18.804197,-98.932816,117.0,
389,apartment,San Luis Potosí,22.133104,-100.982117,100.0,
390,apartment,Distrito Federal,19.400249,-99.177444,150.0,
391,house,Distrito Federal,,,60.0,
392,house,Yucatán,21.03071,-89.618103,382.0,
393,house,Jalisco,20.649154,-105.202538,90.0,
394,house,Baja California,32.426032,-117.033916,140.0,
395,house,Tamaulipas,26.058614,-98.322969,252.0,
396,house,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189.0,
397,house,Baja California Sur,24.129181,-110.31971,110.0,
398,house,Tamaulipas,22.238298,-97.841892,200.0,
399,house,Puebla,19.046561,-98.190349,110.0,
400,apartment,Distrito Federal,19.451872,-99.173522,70.0,
401,house,Estado de México,19.253367,-99.606303,260.0,
402,house,Sonora,29.0287123,-110.97103,200.0,
403,apartment,Distrito Federal,19.4556947061,-99.1635761259,76.0,
404,house,Jalisco,20.7670434,-103.3941011,195.0,
405,apartment,Distrito Federal,19.336195,-99.23692,100.0,
406,apartment,Puebla,,,212.0,
407,house,San Luis Potosí,22.1564699,-100.9855409,110.0,
408,apartment,Morelos,,,124.0,
409,house,Yucatán,21.0634817,-89.6110378,296.0,
410,house,Yucatán,21.135925,-89.6446768,200.0,
411,house,Querétaro,20.547818,-100.407691,80.0,
412,house,Morelos,18.954132,-99.266083,210.0,
413,house,Quintana Roo,21.152508,-86.850891,180.0,
414,house,Morelos,18.882725,-99.163605,112.0,
415,house,Tabasco,17.97423,-92.923836,60.0,
416,house,Chiapas,16.740764,-93.089951,148.0,
417,house,Nuevo León,25.764894,-100.264221,160.0,
418,apartment,Querétaro,20.60782,-100.366721,110.0,
419,house,Distrito Federal,19.469688,-99.085456,248.0,
420,apartment,Distrito Federal,19.2711236877,-99.2088389397,72.0,
421,apartment,Jalisco,20.723133,-103.418115,84.0,
422,apartment,Distrito Federal,,,72.0,
423,house,Chiapas,16.76764,-93.178283,250.0,
424,house,Yucatán,20.9673702,-89.5925857,290.0,
425,house,Yucatán,21.017197,-89.574516,158.0,
426,house,Morelos,18.862602,-99.213448,320.0,
427,house,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220.0,
428,house,Distrito Federal,19.355938,-99.129918,200.0,
429,house,Baja California Sur,19.35913,-98.983431,189.0,
430,house,Yucatán,20.989016,-89.632225,300.0,
431,house,Yucatán,,,220.0,
432,house,Quintana Roo,,,81.0,
433,house,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203.0,
434,house,Yucatán,20.938659,-89.615316,173.0,
435,house,Tamaulipas,22.270658,-97.849037,263.0,
436,house,Chiapas,16.78141,-93.096451,87.0,
437,apartment,Estado de México,,,157.0,
438,house,Chiapas,19.691938,-101.176615,220.0,
439,house,Estado de México,19.64079,-99.098691,105.0,
440,apartment,Puebla,19.011347,-98.246264,139.0,
441,house,Jalisco,20.647029,-103.454953,122.0,
442,house,Morelos,18.905066,-99.224869,120.0,
443,house,Veracruz de Ignacio de la Llave,19.0668128782,-96.0734760761,271.0,
444,house,Distrito Federal,,,308.0,
445,house,Querétaro,20.705742,-100.444016,350.0,
446,house,Estado de México,19.54323,-99.222374,181.0,
447,house,Sinaloa,24.8090649,-107.3940117,212.0,
448,house,Tamaulipas,25.872879,-97.509221,287.0,
449,house,Distrito Federal,19.373264,-99.104161,250.0,
450,apartment,Distrito Federal,19.383952,-99.160229,100.0,
451,house,Chiapas,16.757278,-93.134056,298.0,
452,house,Tamaulipas,22.320061,-97.86808,67.0,
453,house,Guanajuato,20.5834364154,-101.1981904507,180.0,
454,apartment,Distrito Federal,19.396018,-99.147827,80.0,
455,house,Chiapas,19.646418,-101.238213,153.0,
456,house,Estado de México,19.5896123,-99.2907617,60.0,
457,house,Querétaro,20.631845,-100.390495,315.0,
458,house,Querétaro,,,180.0,
459,house,Baja California Sur,24.083153,-110.303329,65.0,
460,house,Veracruz de Ignacio de la Llave,19.144342,-96.139002,140.0,
461,house,Estado de México,19.272027,-99.553293,107.0,
462,house,Sonora,,,301.0,
463,house,Baja California,,,61.0,
464,house,Hidalgo,20.1010608,-98.7591311,320.0,
465,house,Veracruz de Ignacio de la Llave,18.1495449022,-94.5140772966,104.0,
466,apartment,Distrito Federal,19.333901,-99.240356,85.0,
467,apartment,Distrito Federal,19.390031,-99.174182,108.0,
468,house,Nuevo León,25.781807,-100.187794,155.0,
469,apartment,Distrito Federal,,,170.0,
470,house,Querétaro,20.7012562,-100.4654217,295.0,
471,apartment,Distrito Federal,19.365834,-99.263505,126.0,
472,house,Yucatán,20.9637793,-89.6612548,249.0,
473,apartment,Estado de México,19.404701,-99.292419,300.0,
474,house,Veracruz de Ignacio de la Llave,18.879525,-96.921847,123.0,
475,house,Puebla,18.978682,-98.250015,162.0,
476,house,Querétaro,20.6205869,-100.388042,322.0,
477,house,Morelos,,,186.0,
478,house,Morelos,,,147.0,
479,apartment,Nuevo León,25.654263,-100.297874,114.0,
480,house,Estado de México,19.180459,-99.590174,175.0,
481,apartment,Durango,24.010702,-104.613602,88.0,
482,apartment,Distrito Federal,19.474655,-99.189277,60.0,
483,apartment,Querétaro,20.65449,-100.384446,160.0,
484,house,Veracruz de Ignacio de la Llave,25.569556,-103.383702,244.0,
485,house,Morelos,18.813505,-98.953514,66.0,
486,house,Quintana Roo,21.118165,-86.880921,189.0,
487,apartment,Tabasco,17.972448,-92.960579,104.0,
488,house,Veracruz de Ignacio de la Llave,19.165146,-96.160652,220.0,
489,apartment,Distrito Federal,19.3499358,-99.2906864,78.0,
490,apartment,Estado de México,19.402713,-99.27547,130.0,
491,house,Yucatán,,,185.0,
492,house,Morelos,18.948109,-99.26886,200.0,
493,house,Querétaro,20.5887932,-100.3898881,334.0,
494,apartment,Distrito Federal,19.406592,-99.155442,90.0,
495,house,Nuevo León,25.677525,-100.258614,257.0,
496,house,Distrito Federal,,,196.0,
497,house,Chihuahua,,,108.0,
498,house,Distrito Federal,19.318989,-99.094437,100.0,
499,house,Querétaro,20.712143,-100.454275,230.0,
500,house,Yucatán,21.01429,-89.605148,280.0,
501,house,Veracruz de Ignacio de la Llave,19.532306,-96.897717,100.0,
502,house,Veracruz de Ignacio de la Llave,19.173773,-96.1342241,160.0,
503,house,Veracruz de Ignacio de la Llave,19.139896,-96.109911,163.0,
504,house,Puebla,,,235.0,
505,house,Baja California,32.665619,-115.433372,134.0,
506,house,Tamaulipas,22.270658,-97.849037,93.0,
507,house,Yucatán,21.021821,-89.634346,235.0,
508,apartment,Querétaro,20.5887932,-100.3898881,178.0,
509,house,Veracruz de Ignacio de la Llave,19.142568,-96.125389,214.0,
510,house,Morelos,18.970675,-99.288261,333.0,
511,house,Morelos,18.813505,-98.953514,90.0,
512,house,Veracruz de Ignacio de la Llave,,,168.0,
513,house,Sonora,27.492618,-109.960496,270.0,
514,house,Quintana Roo,20.65593,-87.05368,210.0,
515,house,Baja California Sur,24.143626,-110.336274,180.0,
516,house,Guerrero,16.841759,-99.847374,97.0,
517,house,Chiapas,,,200.0,
518,apartment,Veracruz de Ignacio de la Llave,19.125867,-96.106026,189.0,
